application/futuresplash,spl
application/sdp,sdp
application/x-java-applet,javaapplet
application/x-java-jnlp-file,jnlp
application/x-mpeg,amc
application/x-quartzcomposer,qtz
application/x-rtsp,rts
application/x-sdp,sdp
application/x-shockwave-flash,swf
application/x-silverlight,xaml
application/x-smaf,mmf
application/ogg,ogg
audio/smaf,mmf
audio/3gpp,3gp
audio/3gpp2,3g2
audio/aac,aac
audio/ac3,ac3
audio/aiff,aif
audio/amr,amr
audio/basic,snd
audio/mid,mid
audio/mp3,mp3
audio/mp4,mp4
audio/mpeg,mpg
audio/mpeg3,mp3
audio/mpeg4,mp4
audio/vnd.qcelp,qcp
audio/wav,wav
audio/x-smaf,mmf
audio/x-aac,aac
audio/x-ac3,ac3
audio/x-aiff,aif
audio/x-caf,caf
audio/x-gsm,gsm
audio/x-m4a,m4a
audio/x-m4b,m4b
audio/x-m4p,m4p
audio/x-midi,mid
audio/x-mp3,mp3
audio/x-mpeg,mpg
audio/x-mpeg3,mp3
audio/x-ms-wax,wax
audio/x-ms-wma,wma
audio/x-wav,wav
image/jp2,jp2
image/jpeg2000,jp2
image/jpeg2000-image,jp2
image/pict,pic
image/bmp,bmp
image/png,png
image/tiff,tif
image/jpeg,jpg
image/jpg,jpg
image/gif,gif
image/x-jpeg,jpg
image/x-jpg,jpg
image/x-bmp,bmp
image/x-gif,gif
image/x-jpeg2000-image,jp2
image/x-macpaint,pnt
image/x-pict,pic
image/x-png,png
image/x-quicktime,qti
image/x-sgi,sgi
image/x-targa,tga
image/x-tiff,tif
image/x-portable-anymap,pnm
image/x-portable-bitmap,pbm
image/x-portable-graymap,pgm
image/x-portable-pixmap,ppm
video/3gpp,3gp
video/3gpp2,3g2
video/avi,avi
video/divx,divx
video/flc,flc
video/mp4,mp4
video/mpeg4,mp4
video/mpeg,mpg
video/msvideo,avi
video/quicktime,mov
video/sd-video,sdv
video/x-m4v,m4v
video/x-mpeg,mpg
video/x-ms-asf,asf
video/x-ms-asx,asx
video/x-msvideo,avi
video/x-ms-wm,wm
video/x-ms-wmp,wmp
video/x-ms-wmv,wmv
video/x-ms-wmx,wmx
video/x-ms-wvx,wvx
